date,volume,open,close,high,low
20-10-2017,4925657,352.69,345.1,354.55,344.34
19-10-2017,5055715,355.56,351.81,357.1465,348.2
18-10-2017,4936024,355.97,359.65,363,354.13
17-10-2017,3290290,350.91,355.75,356.22,350.07
16-10-2017,5373090,353.76,350.6,354.48,347.16
13-10-2017,3538807,356.98,355.57,358.49,353.68
12-10-2017,4073552,352.95,355.68,359.78,352.64
11-10-2017,4494733,353.89,354.6,357.6,351.15
10-10-2017,6972263,346.8,355.59,355.63,345.5305
09-10-2017,7461461,349.65,342.94,351.75,342.67
06-10-2017,4272866,353.1,356.88,360.0992,352.25
05-10-2017,4167913,356,355.33,357.435,351.35
04-10-2017,8147995,351.25,355.01,358.62,349.6
03-10-2017,10122550,335.9,348.14,348.55,331.28
02-10-2017,5227547,342.52,341.53,343.7,335.51
29-09-2017,5099051,341.86,341.1,344.68,338.601
28-09-2017,5309779,339.88,339.6,342.75,335.4
27-09-2017,6027375,349.9,340.97,351.489,340.5
26-09-2017,7149649,350.93,345.25,351.24,340.9
25-09-2017,7587158,353.15,344.99,357.469,342.88
22-09-2017,8142895,366.49,351.09,369.8999,350.88
21-09-2017,4610872,374.9,366.48,376.83,364.51
20-09-2017,4909958,373,373.91,378.249,371.07
19-09-2017,6435208,380,375.1,382.39,373.57
18-09-2017,7177773,380.25,385,389.61,377.68
15-09-2017,5407227,374.51,379.81,380,372.7
14-09-2017,7170263,364.33,377.64,377.96,362.63
13-09-2017,4171185,363.82,366.23,368.07,359.59
12-09-2017,5966204,364.49,362.75,368.76,360.4
11-09-2017,7651000,351.35,363.69,363.71,350
08-09-2017,3261333,348.99,343.4,349.78,342.3
07-09-2017,4235045,345.98,350.61,352.48,343.45
06-09-2017,4082001,349.5,344.53,350.979,341.56
05-09-2017,3836402,353.8,349.59,355.49,345.89
01-09-2017,3048550,356.12,355.4,357.59,353.6902
31-08-2017,4063330,353.55,355.9,358.44,352.82
30-08-2017,3404165,349.67,353.18,353.47,347
29-08-2017,4069303,339.48,347.36,349.05,338.75
28-08-2017,3746240,347.28,345.66,347.35,339.72
25-08-2017,3475186,354.24,348.05,355.69,347.3
24-08-2017,4571574,352.52,352.93,356.66,349.74
23-08-2017,4941947,338.99,352.77,353.49,338.3041
22-08-2017,4314268,341.13,341.35,342.24,337.3725
21-08-2017,6489850,345.82,337.86,345.82,331.85
18-08-2017,5390805,352.91,347.46,354,345.8
17-08-2017,5010825,361.21,351.92,363.3,351.59
16-08-2017,3406173,363,362.91,366.5,362.52
15-08-2017,3084601,365.2,362.33,365.49,359.37
14-08-2017,4507969,364.63,363.8,367.66,362.6
11-08-2017,4357562,356.97,357.87,361.26,353.62
10-08-2017,7063054,361.6,355.4,366.6504,354.66
09-08-2017,6881182,361,363.53,370,358.95
08-08-2017,7431838,357.53,365.22,368.58,357.4
07-08-2017,6309331,357.35,355.17,359.48,352.75
04-08-2017,9233295,347,356.91,357.27,343.3
03-08-2017,13524270,345.33,347.09,350,343.15
02-08-2017,11942350,318.94,325.89,327.12,311.22
